epoch,step,train_loss,train_acc,train_ppl,train_te,val_loss,val_acc,val_ppl,val_te,sav_version
0,855,3.166101933222765,0.31112750291703106,187.32937010743763,0.5287392870918319,1.8254274782381559,0.5167739845507632,22.456344957895784,0.2910200238583387,1
1,1710,1.6878570440916987,0.543645839467871,14.724396918119067,0.27326883751077796,1.6326882324720684,0.5485992401488594,10.912141417025532,0.2477960147088068,2
2,2565,1.4797259454838714,0.576312266411619,9.257228108355353,0.23839723612658728,1.4343230184755826,0.5801712842973007,8.068675204628828,0.2188099107714249,3
3,3420,1.3578540265211585,0.6000960866004209,7.322709125062491,0.21526609397689347,1.3572219171022113,0.600108449181857,6.7338635540005125,0.21614016237279018,4
4,4275,1.2705188289720413,0.6272459860316241,6.306036460714652,0.20073984197876896,1.274855175143794,0.6267873683255809,5.9393940732064605,0.19514487802725816,5
5,5130,1.2165819972579242,0.644920070695468,5.660467946655831,0.1908894013596531,1.218850669107939,0.6450854470728848,5.415808286902898,0.1874341101232328,6
6,5985,1.144883213893712,0.6659182813199899,5.207373206516219,0.17999810494593957,1.1763582700177242,0.6580781136076733,5.018284460716645,0.1780781750338294,7
7,6840,1.0952936181548045,0.6809694054641987,4.856221647295012,0.17267151835027733,1.1160106433065313,0.6775056136924682,4.709745004776604,0.17274830437783376,8
8,7695,1.0546383982513383,0.6942752232903806,4.5821193731585526,0.16621915247776697,1.0772065771253485,0.6907943614276517,4.4632504910563275,0.16250875565930548,9
9,8550,1.0146169259534246,0.7076745330813001,4.35732225925813,0.1609580853156057,1.0458314023519817,0.7001075881594557,4.257837706810974,0.16103806137050328,10
10,9405,0.9726541098098309,0.7203703991735356,4.167167281475378,0.15441159321790446,1.026525126005474,0.7069204511201079,4.0818902049197705,0.15619089024582014,11
11,10260,0.9554878501167074,0.7273990626347965,4.006220284393321,0.15152271966444722,0.9965740548936944,0.7153353405176106,3.934771280957808,0.1550102295944996,12
12,11115,0.9335224703041434,0.7345258561730906,3.869712610106275,0.1482616793944773,0.9948216155955666,0.7185852841189685,3.807773007870349,0.15301290937382503,13
13,11970,0.9007440530417258,0.7425408487349401,3.7497422017783655,0.14414592864536424,0.9722616107840287,0.7261165965773587,3.6941267563309625,0.14770611811342813,14
14,12825,0.8862026568044696,0.7473161436673598,3.6431301830270706,0.1421049238974907,0.9387154685823541,0.7363164715023357,3.594154609692398,0.14552314662530993,15
15,13680,0.8719741440655893,0.7523660423884693,3.5485503095508553,0.13941395620651353,0.9167527261533235,0.7427889756260568,3.505783253151163,0.1391392897247919,16
16,14535,0.8513566353167706,0.7581509666408899,3.4646323282651017,0.136723548096306,0.9359512837309586,0.7382304282320618,3.425577355177078,0.14320909775685645,16
17,15390,0.838739327868523,0.7614616429540567,3.389096090049447,0.13524812248802398,0.9176273496527421,0.7432640588882706,3.354118534340017,0.13963167085878564,16
18,16245,0.8269434538501048,0.7653265707019521,3.321460209826098,0.1331371371860112,0.9184702208167628,0.7418882189330723,3.289378169279366,0.13643965749186904,16
19,17100,0.8166011838885079,0.7675463171558609,3.2589454070927215,0.13169930223294882,0.9008127454080079,0.7512918508712761,3.2302977885267947,0.13070183610646346,17
20,17955,0.8044892999860975,0.7715562385083065,3.202504474438048,0.12985644460007956,0.8862915177094309,0.7524224937774169,3.1757240980894195,0.13000497566085784,18
