epoch,step,train_loss,train_acc,train_ppl,train_te,val_loss,val_acc,val_ppl,val_te,sav_version
0,855,2.607110611737123,0.28814436359121826,112.51500208403613,0.475671091571329,1.2262802224410208,0.6151801225634149,12.829318462567203,0.23554879647761265,1
1,1710,1.0406783891003035,0.647395017011411,8.155768812888871,0.20630733917440836,1.0124136611034995,0.6495416461484871,5.954147613789273,0.19159784355975068,2
2,2565,0.9484383283302797,0.6644851195793349,5.098913838354875,0.17966688562218872,0.9255256339123374,0.6674935521837339,4.498826394664323,0.17537157521869998,3
3,3420,0.8893105824091281,0.6774891461187222,4.141400171770004,0.16490911720991577,0.8756761180727105,0.6793443979979779,3.858090844580647,0.16243252742241546,4
4,4275,0.8457035967481067,0.6883234404154247,3.6576056379554975,0.15528859681169996,0.8498482635146694,0.6859677243901466,3.490733451819029,0.1543099793504757,5
5,5130,0.8077249543011537,0.6990540719990687,3.3593350725804396,0.14791552062612157,0.8107727860149584,0.6996757606936569,3.245338994795378,0.14756387288513642,6
6,5985,0.7766188332909032,0.7078101617352092,3.15151272463007,0.1417258520276773,0.7851422880825244,0.7059391476279427,3.067103421956395,0.14022825591761004,7
7,6840,0.7518927485273595,0.7151333523137564,2.9952689354271844,0.1362702234084923,0.7617658728047421,0.7134390694591219,2.931187987474551,0.13624877667387592,8
8,7695,0.7291989078995778,0.7223954465698071,2.874836929774526,0.13327107907627037,0.736026970963729,0.7211253522562736,2.822309546763935,0.1322171022796933,9
9,8550,0.7078884248496496,0.7290059618687642,2.7756515652073603,0.12932119268459055,0.7177487429819609,0.7247757687631554,2.732465569235389,0.12790010603825572,10
10,9405,0.691833924340923,0.7342423697679102,2.6933241568872526,0.12645619374562528,0.7117307186126709,0.7273646056478433,2.657143074542711,0.12898713101986328,11
11,10260,0.6836489123907703,0.7369959908384016,2.6245819098330077,0.12462778121935966,0.6956062912940979,0.7341826905176819,2.5940690101616797,0.12224305703216448,12
12,11115,0.6724295374594237,0.7412636628278509,2.565644976693621,0.12270382963061616,0.6925317663895456,0.735902923573922,2.539661407441754,0.12599279422480955,13
13,11970,0.6589728015208105,0.746614293991004,2.5152669467586906,0.12069784595208415,0.6857859128399899,0.7393344665067064,2.491720981408713,0.12316185320888709,14
14,12825,0.6498570787627794,0.750552657984748,2.469811333530486,0.11914414325467548,0.6694501776444285,0.7448984566924742,2.4492483061708845,0.1179670359527613,15
15,13680,0.6403442471348054,0.754261410652967,2.4298408461343506,0.11765567726769302,0.6563137267765246,0.7501379678666741,2.411157891639574,0.11858137929796414,16
16,14535,0.6305686319432063,0.7587641769079158,2.3937951640209687,0.11612784056325026,0.6587251694578874,0.7486633723660415,2.376916163659824,0.11823063453727661,16
17,15390,0.6214803635028371,0.7629002087217901,2.361021844290978,0.1142811937037583,0.6470106473094539,0.7557988379692074,2.345527529332228,0.1156048256258838,17
18,16245,0.6131808875945577,0.7665731918206294,2.3308857350128536,0.11287943420357183,0.6765887677669525,0.7498843854013547,2.317063556916296,0.11462338912535926,17
19,17100,0.604699667957094,0.770601641482562,2.3036870536667653,0.11153013511388898,0.6372199259306255,0.7598027060788333,2.290887129325901,0.11431215302566737,18
20,17955,0.5946845824606934,0.775241419506914,2.2783188651506467,0.10995354189753763,0.6237325900479367,0.7670854400665981,2.266076551800463,0.11236228830407022,19
21,18810,0.5900875098175473,0.7778775401722412,2.254557684306903,0.10925717911203585,0.6169305625714754,0.7698821486684584,2.2432975452485686,0.107100073595323,20
22,19665,0.583009637064404,0.7809733843569585,2.232418580691102,0.10821441732894929,0.6175365611126549,0.7699262002881097,2.2219035019577307,0.11063758955224706,20
23,20520,0.5764734353238379,0.7842966004859782,2.211852860418205,0.10679509946219906,0.6072540289477298,0.7758019514472293,2.2019729375897237,0.10928870056423536,21
24,21375,0.5696000929464373,0.7877341267776002,2.192477683774959,0.1060802831669214,0.6129130677173013,0.7733307443808307,2.183255505279769,0.11146699295479154,21
25,22230,0.5639612098883467,0.7905225563362347,2.174450921679373,0.1049865258491672,0.6006055857005872,0.7785026191555722,2.1656265275347013,0.10607128626525751,22
26,23085,0.5595064931445651,0.7923765777860706,2.157337388254439,0.10428401254081124,0.595362619349831,0.780341789093034,2.1491176294652523,0.1042593708034947,23
27,23940,0.55166078290047,0.79650790314427,2.1410864034029244,0.10287817363910322,0.5868540010954204,0.7833225173835462,2.133243936296616,0.10541899038998866,24
